Annee,negatif,neutre,positif
1999,0.0,0.0,100.0
2000,9.375,0.0,90.625
2001,30.76923076923077,7.6923076923076925,61.53846153846154
2002,4.10958904109589,0.0,95.8904109589041
2003,9.090909090909092,6.0606060606060606,84.84848484848484
2004,10.338680926916222,3.2085561497326207,86.45276292335116
2005,10.636704119850188,3.970037453183521,85.39325842696628
2006,11.737370709039125,6.415829710688052,81.84679958027282
2007,9.704035874439462,5.946188340807175,84.34977578475336
2008,10.367941925474929,6.354828323039547,83.27722975148552
2009,11.74131511405126,6.799696345298775,81.45898854064997
2010,14.341437287504077,7.274928973964882,78.38363373853105
2011,15.270760996699304,7.974329297791169,76.75490970550952
2012,15.894653122451652,7.854201693362461,76.25114518418589
