Mois,NoteMoyenne
1,4.179442889193321
2,4.180020283975659
3,4.181962908594703
4,4.200166393092438
5,4.209708821875135
6,4.165269003349896
7,4.1877362192527725
8,4.189387642006096
9,4.183207750269107
10,4.180107960761106
11,4.2115935759476555
12,4.130481642037698
